tid,cid,ctype,seat_num
D14,14,一等,52
D17,1,一等,52
D17,2,一等,52
D17,3,二等,85
D17,4,二等,85
D17,5,二等,85
D17,6,二等,85
D17,7,二等,85
D17,8,二等,85
D17,9,二等,85
D17,10,二等,85
D17,11,二等,85
D17,12,二等,85
D17,13,一等,52
D17,14,一等,52
D18,1,一等,52
D18,2,一等,52
D18,3,二等,85
D18,4,二等,85
D18,5,二等,85
D18,6,二等,85
D18,7,二等,85
D18,8,二等,85
D18,9,二等,85
D18,10,二等,85
D18,11,二等,85
D18,12,二等,85
D18,13,一等,52
D18,14,一等,52
D19,1,一等,52
D19,2,一等,52
D19,3,二等,85
D19,4,二等,85
D19,5,二等,85
D19,6,二等,85
D19,7,二等,85
D19,8,二等,85
D19,9,二等,85
D19,10,二等,85
D19,11,二等,85
D19,12,二等,85
D19,13,一等,52
D19,14,一等,52
D20,1,一等,52
D20,2,一等,52
D20,3,二等,85
D20,4,二等,85
D20,5,二等,85
D20,6,二等,85
D20,7,二等,85
D20,8,二等,85
D20,9,二等,85
D20,10,二等,85
D20,11,二等,85
D20,12,二等,85
D20,13,一等,52
D20,14,一等,52
D21,1,一等,52
D21,2,一等,52
D21,3,二等,85
D21,4,二等,85
D21,5,二等,85
D21,6,二等,85
D21,7,二等,85
D21,8,二等,85
D21,9,二等,85
D21,10,二等,85
D21,11,二等,85
D21,12,二等,85
D21,13,一等,52
D21,14,一等,52
D22,1,一等,52
D22,2,一等,52
D22,3,二等,85
D22,4,二等,85
D22,5,二等,85
D22,6,二等,85
D22,7,二等,85
D22,8,二等,85
D22,9,二等,85
D22,10,二等,85
D22,11,二等,85
D22,12,二等,85
D22,13,一等,52
D22,14,一等,52
D23,1,一等,52
D23,2,一等,52
D23,3,二等,85
D23,4,二等,85
D23,5,二等,85
D23,6,二等,85
D23,7,二等,85
D23,8,二等,85
D23,9,二等,85
D23,10,二等,85
D23,11,二等,85
D23,12,二等,85
D23,13,一等,52
D23,14,一等,52
D24,1,一等,52
D24,2,一等,52
D24,3,二等,85
D24,4,二等,85
D24,5,二等,85
D24,6,二等,85
D24,7,二等,85
D24,8,二等,85
D24,9,二等,85
D24,10,二等,85
D24,11,二等,85
D24,12,二等,85
D24,13,一等,52
D24,14,一等,52
D25,1,一等,52
D25,2,一等,52
D25,3,二等,85
D25,4,二等,85
D25,5,二等,85
D25,6,二等,85
D25,7,二等,85
D25,8,二等,85
D25,9,二等,85
D25,10,二等,85
D25,11,二等,85
D25,12,二等,85
D25,13,一等,52
D25,14,一等,52
D26,1,一等,52
D26,2,一等,52
D26,3,二等,85
D26,4,二等,85
D26,5,二等,85
D26,6,二等,85
D26,7,二等,85
D26,8,二等,85
D26,9,二等,85
D26,10,二等,85
D26,11,二等,85
D26,12,二等,85
D26,13,一等,52
D26,14,一等,52
D27,1,一等,52
D27,2,一等,52
D27,3,二等,85
D27,4,二等,85
D27,5,二等,85
D27,6,二等,85
D27,7,二等,85
D27,8,二等,85
D27,9,二等,85
D27,10,二等,85
D27,11,二等,85
D27,12,二等,85
D27,13,一等,52
D27,14,一等,52
D28,1,一等,52
D28,2,一等,52
D28,3,二等,85
D28,4,二等,85
D28,5,二等,85
D28,6,二等,85
D28,7,二等,85
D28,8,二等,85
D28,9,二等,85
D28,10,二等,85
D28,11,二等,85
D28,12,二等,85
D28,13,一等,52
D28,14,一等,52
D29,1,一等,52
D29,2,一等,52
D29,3,二等,85
D29,4,二等,85
D29,5,二等,85
D29,6,二等,85
D29,7,二等,85
D29,8,二等,85
D29,9,二等,85
D29,10,二等,85
D29,11,二等,85
D29,12,二等,85
D29,13,一等,52
D29,14,一等,52
D30,1,一等,52
D30,2,一等,52
D30,3,二等,85
D30,4,二等,85
D30,5,二等,85
D30,6,二等,85
D30,7,二等,85
D30,8,二等,85
D30,9,二等,85
D30,10,二等,85
D30,11,二等,85
D30,12,二等,85
D30,13,一等,52
D30,14,一等,52
D31,1,一等,52
D31,2,一等,52
D31,3,二等,85
D31,4,二等,85
D31,5,二等,85
D31,6,二等,85
D31,7,二等,85
D31,8,二等,85
D31,9,二等,85
D31,10,二等,85
D31,11,二等,85
D31,12,二等,85
D31,13,一等,52
D31,14,一等,52
D32,1,一等,52
D32,2,一等,52
D32,3,二等,85
D32,4,二等,85
D32,5,二等,85
D32,6,二等,85
D32,7,二等,85
D32,8,二等,85
D32,9,二等,85
D32,10,二等,85
D32,11,二等,85
D32,12,二等,85
D32,13,一等,52
D32,14,一等,52
D33,1,一等,52
D33,2,一等,52
D33,3,二等,85
D33,4,二等,85
D33,5,二等,85
D33,6,二等,85
D33,7,二等,85
D33,8,二等,85
D33,9,二等,85
D33,10,二等,85
D33,11,二等,85
D33,12,二等,85
D33,13,一等,52
D33,14,一等,52
D34,1,一等,52
D34,2,一等,52
D34,3,二等,85
D34,4,二等,85
D34,5,二等,85
D34,6,二等,85
D34,7,二等,85
D34,8,二等,85
D34,9,二等,85
D34,10,二等,85
D34,11,二等,85
D34,12,二等,85
D34,13,一等,52
D34,14,一等,52
D35,1,一等,52
D35,2,一等,52
D35,3,二等,85
D35,4,二等,85
D35,5,二等,85
D35,6,二等,85
D35,7,二等,85
D35,8,二等,85
D35,9,二等,85
D35,10,二等,85
D35,11,二等,85
D35,12,二等,85
D35,13,一等,52
D35,14,一等,52
D36,1,一等,52
D36,2,一等,52
D36,3,二等,85
D36,4,二等,85
D36,5,二等,85
D36,6,二等,85
D36,7,二等,85
D36,8,二等,85
D36,9,二等,85
D36,10,二等,85
D36,11,二等,85
D36,12,二等,85
D36,13,一等,52
D36,14,一等,52
D37,1,一等,52
D37,2,一等,52
D37,3,二等,85
D37,4,二等,85
D37,5,二等,85
D37,6,二等,85
D37,7,二等,85
D37,8,二等,85
D37,9,二等,85
D37,10,二等,85
D37,11,二等,85
D37,12,二等,85
D37,13,一等,52
D37,14,一等,52
D38,1,一等,52
D38,2,一等,52
D38,3,二等,85
D38,4,二等,85
D38,5,二等,85
D38,6,二等,85
D38,7,二等,85
D38,8,二等,85
D38,9,二等,85
D38,10,二等,85
D38,11,二等,85
D38,12,二等,85
D38,13,一等,52
D38,14,一等,52
D39,1,一等,52
D39,2,一等,52
D39,3,二等,85
D39,4,二等,85
D39,5,二等,85
D39,6,二等,85
D39,7,二等,85
D39,8,二等,85
D39,9,二等,85
D39,10,二等,85
D39,11,二等,85
D39,12,二等,85
D39,13,一等,52
D39,14,一等,52
D40,1,一等,52
D40,2,一等,52
D40,3,二等,85
D40,4,二等,85
D40,5,二等,85
D40,6,二等,85
D40,7,二等,85
D40,8,二等,85
D40,9,二等,85
D40,10,二等,85
D40,11,二等,85
D40,12,二等,85
D40,13,一等,52
D40,14,一等,52
D41,1,一等,52
D41,2,一等,52
D41,3,二等,85
D41,4,二等,85
D41,5,二等,85
D41,6,二等,85
D41,7,二等,85
D41,8,二等,85
D41,9,二等,85
D41,10,二等,85
D41,11,二等,85
D41,12,二等,85
D41,13,一等,52
D41,14,一等,52
D42,1,一等,52
D42,2,一等,52
D42,3,二等,85
D42,4,二等,85
D42,5,二等,85
D42,6,二等,85
D42,7,二等,85
D42,8,二等,85
D42,9,二等,85
D42,10,二等,85
D42,11,二等,85
D42,12,二等,85
D42,13,一等,52
D42,14,一等,52
D43,1,一等,52
D43,2,一等,52
D43,3,二等,85
D43,4,二等,85
D43,5,二等,85
D43,6,二等,85
D43,7,二等,85
D43,8,二等,85
D43,9,二等,85
D43,10,二等,85
D43,11,二等,85
D43,12,二等,85
D43,13,一等,52
D43,14,一等,52
D44,1,一等,52
D44,2,一等,52
D44,3,二等,85
D44,4,二等,85
D44,5,二等,85
D44,6,二等,85
D44,7,二等,85
D44,8,二等,85
D44,9,二等,85
D44,10,二等,85
D44,11,二等,85
D44,12,二等,85
D44,13,一等,52
D44,14,一等,52
D45,1,一等,52
D45,2,一等,52
D45,3,二等,85
D45,4,二等,85
D45,5,二等,85
D45,6,二等,85
D45,7,二等,85
D45,8,二等,85
D45,9,二等,85
D45,10,二等,85
D45,11,二等,85
D45,12,二等,85
D45,13,一等,52
D45,14,一等,52
D46,1,一等,52
D46,2,一等,52
D46,3,二等,85
D46,4,二等,85
D46,5,二等,85
D46,6,二等,85
D46,7,二等,85
D46,8,二等,85
D46,9,二等,85
D46,10,二等,85
D46,11,二等,85
D46,12,二等,85
D46,13,一等,52
D46,14,一等,52
D48,1,一等,52
D48,2,一等,52
D48,3,二等,85
D48,4,二等,85
D48,5,二等,85
D48,6,二等,85
D48,7,二等,85
D48,8,二等,85
D48,9,二等,85
D48,10,二等,85
D48,11,二等,85
D48,12,二等,85
D48,13,一等,52
D48,14,一等,52
D49,1,一等,52
D49,2,一等,52
D49,3,二等,85
D49,4,二等,85
D49,5,二等,85
D49,6,二等,85
D49,7,二等,85
D49,8,二等,85
D49,9,二等,85
D49,10,二等,85
D49,11,二等,85
D49,12,二等,85
D49,13,一等,52
D49,14,一等,52
D50,1,一等,52
D50,2,一等,52
D50,3,二等,85
D50,4,二等,85
D50,5,二等,85
D50,6,二等,85
D50,7,二等,85
D50,8,二等,85
D50,9,二等,85
D50,10,二等,85
D50,11,二等,85
D50,12,二等,85
D50,13,一等,52
D50,14,一等,52
D51,1,一等,52
D51,2,一等,52
D51,3,二等,85
D51,4,二等,85
D51,5,二等,85
D51,6,二等,85
D51,7,二等,85
D51,8,二等,85
D51,9,二等,85
D51,10,二等,85
D51,11,二等,85
D51,12,二等,85
D51,13,一等,52
D51,14,一等,52
D52,1,一等,52
D52,2,一等,52
D52,3,二等,85
D52,4,二等,85
D52,5,二等,85
D52,6,二等,85
D52,7,二等,85
D52,8,二等,85
D52,9,二等,85
D52,10,二等,85
D52,11,二等,85
D52,12,二等,85
D52,13,一等,52
D52,14,一等,52
D55,1,一等,52
D55,2,一等,52
D55,3,二等,85
D55,4,二等,85
D55,5,二等,85
D55,6,二等,85
D55,7,二等,85
D55,8,二等,85
D55,9,二等,85
D55,10,二等,85
D55,11,二等,85
D55,12,二等,85
D55,13,一等,52
D55,14,一等,52
D56,1,一等,52
D56,2,一等,52
D56,3,二等,85
D56,4,二等,85
D56,5,二等,85
D56,6,二等,85
D56,7,二等,85
D56,8,二等,85
D56,9,二等,85
D56,10,二等,85
D56,11,二等,85
D56,12,二等,85
D56,13,一等,52
D56,14,一等,52
D73,1,一等,52
D73,2,一等,52
D73,3,二等,85
D73,4,二等,85
D73,5,二等,85
D73,6,二等,85
D73,7,二等,85
D73,8,二等,85
D73,9,二等,85
D73,10,二等,85
D73,11,二等,85
D73,12,二等,85
D73,13,一等,52
D73,14,一等,52
D74,1,一等,52
D74,2,一等,52
D74,3,二等,85
D74,4,二等,85
D74,5,二等,85
D74,6,二等,85
D74,7,二等,85
D74,8,二等,85
D74,9,二等,85
D74,10,二等,85
D74,11,二等,85
D74,12,二等,85
D74,13,一等,52
D74,14,一等,52
D101,1,一等,52
D101,2,一等,52
D101,3,二等,85
D101,4,二等,85
D101,5,二等,85
D101,6,二等,85
D101,7,二等,85
D101,8,二等,85
D101,9,二等,85
D101,10,二等,85
D101,11,二等,85
D101,12,二等,85
D101,13,一等,52
D101,14,一等,52
D102,1,一等,52
D102,2,一等,52
D102,3,二等,85
D102,4,二等,85
D102,5,二等,85
D102,6,二等,85
D102,7,二等,85
D102,8,二等,85
D102,9,二等,85
D102,10,二等,85
D102,11,二等,85
D102,12,二等,85
D102,13,一等,52
D102,14,一等,52
D111,1,一等,52
D111,2,一等,52
D111,3,二等,85
D111,4,二等,85
D111,5,二等,85
D111,6,二等,85
D111,7,二等,85
D111,8,二等,85
D111,9,二等,85
D111,10,二等,85
D111,11,二等,85
D111,12,二等,85
D111,13,一等,52
D111,14,一等,52
D112,1,一等,52
D112,2,一等,52
D112,3,二等,85
D112,4,二等,85
D112,5,二等,85
D112,6,二等,85
D112,7,二等,85
D112,8,二等,85
D112,9,二等,85
D112,10,二等,85
D112,11,二等,85
D112,12,二等,85
D112,13,一等,52
D112,14,一等,52
D113,1,一等,52
D113,2,一等,52
D113,3,二等,85
D113,4,二等,85
D113,5,二等,85
D113,6,二等,85
D113,7,二等,85
D113,8,二等,85
D113,9,二等,85
D113,10,二等,85
D113,11,二等,85
D113,12,二等,85
D113,13,一等,52
D113,14,一等,52
D114,1,一等,52
D114,2,一等,52
D114,3,二等,85
D114,4,二等,85
D114,5,二等,85
D114,6,二等,85
D114,7,二等,85
D114,8,二等,85
D114,9,二等,85
D114,10,二等,85
D114,11,二等,85
D114,12,二等,85
D114,13,一等,52
D114,14,一等,52
D115,1,一等,52
D115,2,一等,52
D115,3,二等,85
D115,4,二等,85
D115,5,二等,85
D115,6,二等,85
D115,7,二等,85
D115,8,二等,85
D115,9,二等,85
D115,10,二等,85
D115,11,二等,85
D115,12,二等,85
D115,13,一等,52
D115,14,一等,52
D116,1,一等,52
D116,2,一等,52
D116,3,二等,85
D116,4,二等,85
D116,5,二等,85
D116,6,二等,85
D116,7,二等,85
D116,8,二等,85
D116,9,二等,85
D116,10,二等,85
D116,11,二等,85
D116,12,二等,85
D116,13,一等,52
D116,14,一等,52
D117,1,一等,52
D117,2,一等,52
D117,3,二等,85
D117,4,二等,85
D117,5,二等,85
D117,6,二等,85
D117,7,二等,85
D117,8,二等,85
D117,9,二等,85
D117,10,二等,85
D117,11,二等,85
D117,12,二等,85
D117,13,一等,52
D117,14,一等,52
D118,1,一等,52
D118,2,一等,52
D118,3,二等,85
D118,4,二等,85
D118,5,二等,85
D118,6,二等,85
D118,7,二等,85
D118,8,二等,85
D118,9,二等,85
D118,10,二等,85
D118,11,二等,85
D118,12,二等,85
D118,13,一等,52
D118,14,一等,52
D119,1,一等,52
D119,2,一等,52
D119,3,二等,85
D119,4,二等,85
D119,5,二等,85
D119,6,二等,85
D119,7,二等,85
D119,8,二等,85
D119,9,二等,85
D119,10,二等,85
D119,11,二等,85
D119,12,二等,85
D119,13,一等,52
D119,14,一等,52
D120,1,一等,52
D120,2,一等,52
D120,3,二等,85
D120,4,二等,85
D120,5,二等,85
D120,6,二等,85
D120,7,二等,85
D120,8,二等,85
D120,9,二等,85
D120,10,二等,85
D120,11,二等,85
D120,12,二等,85
D120,13,一等,52
D120,14,一等,52
D121,1,一等,52
D121,2,一等,52
D121,3,二等,85
D121,4,二等,85
D121,5,二等,85
D121,6,二等,85
D121,7,二等,85
D121,8,二等,85
D121,9,二等,85
D121,10,二等,85
D121,11,二等,85
D121,12,二等,85
D121,13,一等,52
D121,14,一等,52
D122,1,一等,52
D122,2,一等,52
D122,3,二等,85
D122,4,二等,85
D122,5,二等,85
D122,6,二等,85
D122,7,二等,85
D122,8,二等,85
D122,9,二等,85
D122,10,二等,85
D122,11,二等,85
D122,12,二等,85
D122,13,一等,52
D122,14,一等,52
D123,1,一等,52
D123,2,一等,52
D123,3,二等,85
D123,4,二等,85
D123,5,二等,85
D123,6,二等,85
D123,7,二等,85
D123,8,二等,85
D123,9,二等,85
D123,10,二等,85
D123,11,二等,85
D123,12,二等,85
D123,13,一等,52
D123,14,一等,52
D124,1,一等,52
D124,2,一等,52
D124,3,二等,85
D124,4,二等,85
D124,5,二等,85
D124,6,二等,85
D124,7,二等,85
D124,8,二等,85
D124,9,二等,85
D124,10,二等,85
D124,11,二等,85
D124,12,二等,85
D124,13,一等,52
D124,14,一等,52
D125,1,一等,52
D125,2,一等,52
D125,3,二等,85
D125,4,二等,85
D125,5,二等,85
D125,6,二等,85
D125,7,二等,85
D125,8,二等,85
D125,9,二等,85
D125,10,二等,85
D125,11,二等,85
D125,12,二等,85
D125,13,一等,52
D125,14,一等,52
D126,1,一等,52
D126,2,一等,52
D126,3,二等,85
D126,4,二等,85
D126,5,二等,85
D126,6,二等,85
D126,7,二等,85
D126,8,二等,85
D126,9,二等,85
D126,10,二等,85
D126,11,二等,85
D126,12,二等,85
D126,13,一等,52
D126,14,一等,52
D127,1,一等,52
D127,2,一等,52
D127,3,二等,85
D127,4,二等,85
D127,5,二等,85
D127,6,二等,85
D127,7,二等,85
D127,8,二等,85
D127,9,二等,85
D127,10,二等,85
D127,11,二等,85
D127,12,二等,85
D127,13,一等,52
D127,14,一等,52
D128,1,一等,52
D128,2,一等,52
D128,3,二等,85
D128,4,二等,85
D128,5,二等,85
D128,6,二等,85
D128,7,二等,85
D128,8,二等,85
D128,9,二等,85
D128,10,二等,85
D128,11,二等,85
D128,12,二等,85
D128,13,一等,52
D128,14,一等,52
D129,1,一等,52
D129,2,一等,52
D129,3,二等,85
D129,4,二等,85
D129,5,二等,85
D129,6,二等,85
D129,7,二等,85
D129,8,二等,85
D129,9,二等,85
D129,10,二等,85
D129,11,二等,85
D129,12,二等,85
D129,13,一等,52
D129,14,一等,52
D130,1,一等,52
D130,2,一等,52
D130,3,二等,85
D130,4,二等,85
D130,5,二等,85
D130,6,二等,85
D130,7,二等,85
D130,8,二等,85
D130,9,二等,85
D130,10,二等,85
D130,11,二等,85
D130,12,二等,85
D130,13,一等,52
D130,14,一等,52
D131,1,一等,52
D131,2,一等,52
D131,3,二等,85
D131,4,二等,85
D131,5,二等,85
D131,6,二等,85
D131,7,二等,85
D131,8,二等,85
D131,9,二等,85
D131,10,二等,85
D131,11,二等,85
D131,12,二等,85
D131,13,一等,52
D131,14,一等,52
D132,1,一等,52
D132,2,一等,52
D132,3,二等,85
D132,4,二等,85
D132,5,二等,85
D132,6,二等,85
D132,7,二等,85
D132,8,二等,85
D132,9,二等,85
D132,10,二等,85
D132,11,二等,85
D132,12,二等,85
D132,13,一等,52
D132,14,一等,52
D133,1,一等,52
D133,2,一等,52
D133,3,二等,85
D133,4,二等,85
D133,5,二等,85
D133,6,二等,85
D133,7,二等,85
D133,8,二等,85
D133,9,二等,85
D133,10,二等,85
D133,11,二等,85
D133,12,二等,85
D133,13,一等,52
D133,14,一等,52
D134,1,一等,52
D134,2,一等,52
D134,3,二等,85
D134,4,二等,85
D134,5,二等,85
D134,6,二等,85
D134,7,二等,85
D134,8,二等,85
D134,9,二等,85
D134,10,二等,85
D134,11,二等,85
D134,12,二等,85
D134,13,一等,52
D134,14,一等,52
D135,1,一等,52
D135,2,一等,52
D135,3,二等,85
D135,4,二等,85
D135,5,二等,85
D135,6,二等,85
D135,7,二等,85
D135,8,二等,85
D135,9,二等,85
D135,10,二等,85
D135,11,二等,85
D135,12,二等,85
D135,13,一等,52
D135,14,一等,52
D136,1,一等,52
D136,2,一等,52
D136,3,二等,85
D136,4,二等,85
D136,5,二等,85
D136,6,二等,85
D136,7,二等,85
D136,8,二等,85
D136,9,二等,85
D136,10,二等,85
D136,11,二等,85
D136,12,二等,85
D136,13,一等,52
D136,14,一等,52
D137,1,一等,52
D137,2,一等,52
D137,3,二等,85
D137,4,二等,85
D137,5,二等,85
D137,6,二等,85
D137,7,二等,85
D137,8,二等,85
D137,9,二等,85
D137,10,二等,85
D137,11,二等,85
D137,12,二等,85
D137,13,一等,52
D137,14,一等,52
D138,1,一等,52
D138,2,一等,52
D138,3,二等,85
D138,4,二等,85
D138,5,二等,85
D138,6,二等,85
D138,7,二等,85
D138,8,二等,85
D138,9,二等,85
D138,10,二等,85
D138,11,二等,85
D138,12,二等,85
D138,13,一等,52
D138,14,一等,52
D201,1,一等,52
D201,2,一等,52
D201,3,二等,85
D201,4,二等,85
D201,5,二等,85
D201,6,二等,85
D201,7,二等,85
D201,8,二等,85
D201,9,二等,85
D201,10,二等,85
D201,11,二等,85
D201,12,二等,85
D201,13,一等,52
D201,14,一等,52
D202,1,一等,52
D202,2,一等,52
D202,3,二等,85
D202,4,二等,85
D202,5,二等,85
D202,6,二等,85
D202,7,二等,85
D202,8,二等,85
D202,9,二等,85
D202,10,二等,85
D202,11,二等,85
D202,12,二等,85
D202,13,一等,52
D202,14,一等,52
D203,1,一等,52
D203,2,一等,52
D203,3,二等,85
D203,4,二等,85
D203,5,二等,85
D203,6,二等,85
D203,7,二等,85
D203,8,二等,85
D203,9,二等,85
D203,10,二等,85
D203,11,二等,85
D203,12,二等,85
D203,13,一等,52
D203,14,一等,52
D204,1,一等,52
D204,2,一等,52
D204,3,二等,85
D204,4,二等,85
D204,5,二等,85
D204,6,二等,85
D204,7,二等,85
D204,8,二等,85
D204,9,二等,85
D204,10,二等,85
D204,11,二等,85
D204,12,二等,85
D204,13,一等,52
D204,14,一等,52
D205,1,一等,52
D205,2,一等,52
D205,3,二等,85
D205,4,二等,85
D205,5,二等,85
D205,6,二等,85
D205,7,二等,85
D205,8,二等,85
D205,9,二等,85
D205,10,二等,85
D205,11,二等,85
D205,12,二等,85
D205,13,一等,52
D205,14,一等,52
D206,1,一等,52
D206,2,一等,52
D206,3,二等,85
D206,4,二等,85
D206,5,二等,85
D206,6,二等,85
D206,7,二等,85
D206,8,二等,85
D206,9,二等,85
D206,10,二等,85
D206,11,二等,85
D206,12,二等,85
D206,13,一等,52
D206,14,一等,52
D207,1,一等,52
D207,2,一等,52
D207,3,二等,85
D207,4,二等,85
D207,5,二等,85
D207,6,二等,85
D207,7,二等,85
D207,8,二等,85
D207,9,二等,85
D207,10,二等,85
D207,11,二等,85
D207,12,二等,85
D207,13,一等,52
D207,14,一等,52
D208,1,一等,52
D208,2,一等,52
D208,3,二等,85
D208,4,二等,85
D208,5,二等,85
D208,6,二等,85
D208,7,二等,85
D208,8,二等,85
D208,9,二等,85
D208,10,二等,85
D208,11,二等,85
D208,12,二等,85
D208,13,一等,52
D208,14,一等,52
D211,1,一等,52
D211,2,一等,52
D211,3,二等,85
D211,4,二等,85
D211,5,二等,85
D211,6,二等,85
D211,7,二等,85
D211,8,二等,85
D211,9,二等,85
D211,10,二等,85
D211,11,二等,85
D211,12,二等,85
D211,13,一等,52
D211,14,一等,52
D212,1,一等,52
D212,2,一等,52
D212,3,二等,85
D212,4,二等,85
D212,5,二等,85
D212,6,二等,85
D212,7,二等,85
D212,8,二等,85
D212,9,二等,85
D212,10,二等,85
D212,11,二等,85
D212,12,二等,85
D212,13,一等,52
D212,14,一等,52
D213,1,一等,52
D213,2,一等,52
D213,3,二等,85
D213,4,二等,85
D213,5,二等,85
D213,6,二等,85
D213,7,二等,85
D213,8,二等,85
D213,9,二等,85
D213,10,二等,85
D213,11,二等,85
D213,12,二等,85
D213,13,一等,52
D213,14,一等,52
D214,1,一等,52
D214,2,一等,52
D214,3,二等,85
D214,4,二等,85
D214,5,二等,85
D214,6,二等,85
D214,7,二等,85
D214,8,二等,85
D214,9,二等,85
D214,10,二等,85
D214,11,二等,85
D214,12,二等,85
D214,13,一等,52
D214,14,一等,52
D295,1,一等,52
D295,2,一等,52
D295,3,二等,85
D295,4,二等,85
D295,5,二等,85
D295,6,二等,85
D295,7,二等,85
D295,8,二等,85
D295,9,二等,85
D295,10,二等,85
D295,11,二等,85
D295,12,二等,85
D295,13,一等,52
D295,14,一等,52
D296,1,一等,52
D296,2,一等,52
D296,3,二等,85
D296,4,二等,85
D296,5,二等,85
D296,6,二等,85
D296,7,二等,85
D296,8,二等,85
D296,9,二等,85
D296,10,二等,85
D296,11,二等,85
D296,12,二等,85
D296,13,一等,52
D296,14,一等,52
D298,1,一等,52
D298,2,一等,52
D298,3,二等,85
D298,4,二等,85
D298,5,二等,85
D298,6,二等,85
D298,7,二等,85
D298,8,二等,85
D298,9,二等,85
D298,10,二等,85
D298,11,二等,85
D298,12,二等,85
D298,13,一等,52
D298,14,一等,52
D305,1,一等,52
D305,2,一等,52
D305,3,二等,85
D305,4,二等,85
D305,5,二等,85
D305,6,二等,85
D305,7,二等,85
D305,8,二等,85
D305,9,二等,85
D305,10,二等,85
D305,11,二等,85
D305,12,二等,85
D305,13,一等,52
D305,14,一等,52
D306,1,一等,52
D306,2,一等,52
D306,3,二等,85
D306,4,二等,85
D306,5,二等,85
D306,6,二等,85
D306,7,二等,85
D306,8,二等,85
D306,9,二等,85
D306,10,二等,85
D306,11,二等,85
D306,12,二等,85
D306,13,一等,52
D306,14,一等,52
D307,1,一等,52
D307,2,一等,52
D307,3,二等,85
D307,4,二等,85
D307,5,二等,85
D307,6,二等,85
D307,7,二等,85
D307,8,二等,85
D307,9,二等,85
D307,10,二等,85
D307,11,二等,85
D307,12,二等,85
D307,13,一等,52
D307,14,一等,52
D308,1,一等,52
D308,2,一等,52
D308,3,二等,85
D308,4,二等,85
D308,5,二等,85
D308,6,二等,85
D308,7,二等,85
D308,8,二等,85
D308,9,二等,85
D308,10,二等,85
D308,11,二等,85
